Netcharge,Binding,BindingActivity,BindingFolds
1,1,10.7,3.419538892
-1,-1,0.25,-2
0,0,0.07,-3.836501268
-2,-1,0.5,-1
1,1,8.01,3.001802243
0,1,2.99,1.580145484
1,1,2.98,1.575312331
-1,-1,0.23,-2.120294234
1,1,2.09,1.063502942
1,1,1.97,0.97819563
-2,-1,0.49,-1.029146346
0,-1,0.25,-2
0,-1,0.11,-3.184424571
1,1,2.94,1.555816155
-1,-1,0.08,-3.64385619
0,1,2.94,1.555816155
-1,-1,0.16,-2.64385619
2,1,9.27,3.212569339
-1,-1,0.15,-2.736965594
0,-1,0.13,-2.943416472
0,-1,0.13,-2.943416472
0,0,1.31,0.389566812
0,0,1.32,0.40053793
2,1,4.52,2.176322773
0,-1,0.2,-2.321928095
-1,-1,0.11,-3.184424571
0,-1,0.15,-2.736965594
0,0,1.01,0.014355293
0,0,1,0
1,-1,0.5,-1
-1,-1,0.39,-1.358453971
0,-1,0.14,-2.836501268
1,0,1.03,0.042644337
0,1,1.5,0.584962501
