-2,-1,0.49,-1.0291
-1,-1,0.39,-1.3585
-1,-1,0.25,-2
-0.95,-1,0.23,-2.1203
-1,-1,0.16,-2.6439
-0.95,-1,0.15,-2.737
-1,-1,0.11,-3.1844
-1,-1,0.08,-3.6439
0,1,2.99,1.5801
0.05,1,2.94,1.5558
0,1,1.5,0.58496
0.05,0,1.32,0.40054
0.1,0,1.31,0.38957
0,0,1.01,0.014355
0.05,0,1,0
0,-1,0.25,-2
0,-1,0.2,-2.3219
0,-1,0.15,-2.737
0.05,-1,0.14,-2.8365
0,-1,0.13,-2.9434
0.05,-1,0.13,-2.9434
0,-1,0.11,-3.1844
0,0,0.07,-3.8365
1,1,10.7,3.4195
1,1,8.01,3.0018
1,1,2.98,1.5753
1.05,1,2.94,1.5558
1,1,2.09,1.0635
1.05,1,1.97,0.9782
1,0,1.03,0.042644
1,1,0.5,-1
2,1,9.27,3.2126
2,1,4.52,2.1763
